Nama,Pre Test,Progress Test,Final Test,Asal Kota,,
SI-0001,2.5,5.5,6.5,Yogyakarta,,
SI-0002,3,7.5,7,Yogyakarta,,
SI-0003,1.5,3,5,Yogyakarta,,
SI-0004,3,6.5,6.5,Yogyakarta,,
SI-0005,2,2.5,5,Yogyakarta,,
SI-0006,2.5,5.5,5.5,Yogyakarta,,
SI-0007,3.5,6.5,6.5,Yogyakarta,,
SI-0008,4,6.5,7,Yogyakarta,, 
SI-0009,4.5,7,7.5,Yogyakarta,,
SI-0010,2.5,4.5,5,Yogyakarta,,
SI-0011,3,5,5.5,Yogyakarta,,
SI-0012,3,5,5.5,Yogyakarta,,
SI-0013,3.5,6,6,Yogyakarta,,
SI-0014,4,6.5,6.5,Yogyakarta,,
SI-0015,4,6.5,6.5,Yogyakarta,,
SI-0016,4,6,6.5,Yogyakarta,,
SI-0017,4.5,4,7,Yogyakarta,,
SI-0018,5.5,7.5,8,Yogyakarta,,
SI-0019,2.5,4.5,4.5,Yogyakarta,,
SI-0021,4,5.5,6,Yogyakarta,,
SI-0022,4,5.5,6,Yogyakarta,,
SI-0023,4,6,6,Yogyakarta,,
SI-0024,4,6,6,Yogyakarta,,
SI-0025,4,5.5,6,Yogyakarta,,
SI-0026,4,5.5,6,Yogyakarta,,
SI-0027,4,5.5,6,Yogyakarta,,
SI-0028,4.5,6.5,6.5,Yogyakarta,,
SI-0029,4.5,5.5,6.5,Yogyakarta,,
SI-0030,4.5,6,6.5,Yogyakarta,,
SI-0031,4.5,6.5,6.5,Yogyakarta,,
SI-0032,4.5,6.5,6.5,Yogyakarta,,
SI-0033,4.5,7,6.5,Yogyakarta,,
SI-0034,4.5,5.5,6.5,Yogyakarta,,
SI-0035,4.5,6,6.5,Yogyakarta,,
SI-0036,5,6,7,Yogyakarta,,
SI-0037,5,6.5,7,Yogyakarta,,
SI-0038,5.5,6.5,7.5,Yogyakarta,,
SI-0039,5.5,7.5,7.5,Yogyakarta,,
SI-0040,5.3,7.5,7,Yogyakarta,,
SI-0041,3,4.5,4.5,Yogyakarta,,
SI-0042,3.5,5,5,Yogyakarta,,
SI-0043,3.5,7,5,Yogyakarta,,
SI-0044,3.5,5,5,Yogyakarta,,
SI-0045,3.5,4,5,Yogyakarta,,
SI-0046,4,5.5,5.5,Yogyakarta,,
SI-0047,4,5,5.5,Yogyakarta,,
SI-0050,4,5.5,5.5,Yogyakarta,,
SI-0052,4.5,6,6,Yogyakarta,,
SI-0053,4.5,5.5,6,Yogyakarta,,
SI-0054,4.5,6,6,Yogyakarta,,
SI-0055,4.5,5,6,Yogyakarta,,
SI-0056,4.5,5.5,6,Yogyakarta,,
SI-0057,4.5,6,6,Jakarta,,
SI-0058,4.5,5,6,Jakarta,,
SI-0059,4.5,5.5,6,Jakarta,,
SI-0060,4.5,4.5,6,Jakarta,,
SI-0061,4.5,5.5,6,Jakarta,,
SI-0062,4.5,6,6,Jakarta,,
SI-0063,4.5,5.5,6,Jakarta,,
SI-0064,4.5,5.5,6,Jakarta,,
SI-0065,4.5,6,6,Yogyakarta,,
SI-0066,4.5,5.5,6,Yogyakarta,,
SI-0067,5,6.5,6.5,Jakarta,,
SI-0068,5,6.5,6.5,Jakarta,,
SI-0069,5,6.5,6.5,Jakarta,,
SI-0070,5,6.5,6.5,Jakarta,,
SI-0071,5,6,6.5,Jakarta,,
SI-0072,5,6,6.5,Jakarta,,
SI-0073,5,5.5,6.5,Jakarta,,
SI-0074,5,5.5,6.5,Jakarta,,
SI-0075,5,5.5,6.5,Jakarta,,
SI-0076,5,6,6.5,Yogyakarta,,
SI-0077,5,6,6.5,Yogyakarta,,
SI-0078,5,6,6.5,Yogyakarta,,
SI-0079,5,6,6.5,Yogyakarta,,
SI-0080,5.5,7.5,7,Jakarta,,
SI-0081,5.5,6,7,Jakarta,,
SI-0082,5.5,7,7,Jakarta,,
SI-0083,5.5,5.5,7,Jakarta,,
SI-0084,5.5,6.8,7,Jakarta,,
SI-0085,6,7,7.5,Yogyakarta,,
SI-0086,6,7,7.5,Jakarta,,
SI-0087,6,7.5,7.5,Jakarta,,
SI-0088,6,7.5,7.5,Jakarta,,
SI-0089,6,7,7.5,Yogyakarta,,
SI-0090,6.5,7,8,Jakarta,,
SI-0091,6.5,8,8,Jakarta,,
SI-0092,5.8,6.5,7,Jakarta,,
